Cover Image,Phase,PSNR,SSIM,MSE,Entropy Diff,Blue_Cover,Blue_Stego,Blue_Detect,Green_Cover,Green_Stego,Green_Detect,Red_Cover,Red_Stego,Red_Detect
img_10.jpg,phase1,99.3119,1.0,0.0,0.0,5586.583601254137,5586.526975772352,less detectable by 0.05662548178497673,7484.330067342667,7484.600064554393,more detectable by 0.26999721172614954,6466.843803829845,6466.66649772432,less detectable by 0.17730610552462167
img_10.jpg,phase2,90.3169,1.0,0.0001,0.0,5586.583601254137,5581.422434127162,less detectable by 5.16116712697476,7484.330067342667,7477.207737254583,less detectable by 7.1223300880838,6466.843803829845,6459.371343751109,less detectable by 7.472460078735821
img_10.jpg,phase3,99.2174,1.0,0.0,-0.0,5586.583601254137,5587.087873512766,more detectable by 0.5042722586294985,7484.330067342667,7486.365263731615,more detectable by 2.0351963889488616,6466.843803829845,6466.532444069192,less detectable by 0.3113597606525218
img_10.jpg,phase4_1,99.8714,1.0,0.0,0.0,5586.583601254137,5586.214272555497,less detectable by 0.3693286986399471,7484.330067342667,7483.921165077201,less detectable by 0.4089022654652581,6466.843803829845,6466.573744462158,less detectable by 0.27005936768637184
img_10.jpg,phase4_2,96.0693,1.0,0.0,0.0,5586.583601254137,5584.37024555047,less detectable by 2.2133557036668208,7484.330067342667,7480.3915209317765,less detectable by 3.9385464108900123,6466.843803829845,6464.022159971485,less detectable by 2.8216438583594936
img_10.jpg,phase4_3,96.2541,1.0,0.0,0.0,5586.583601254137,5584.471779746622,less detectable by 2.1118215075148328,7484.330067342667,7480.198504973961,less detectable by 4.131562368706,6466.843803829845,6466.843803829845,equal
img_10.jpg,phase4_4,96.5978,1.0,0.0,-0.0,5586.583601254137,5586.2185549781625,less detectable by 0.3650462759742368,7484.330067342667,7483.33303752652,less detectable by 0.9970298161470055,6466.843803829845,6470.282720287888,more detectable by 3.4389164580434226
img_11.jpg,phase1,100.7865,1.0,0.0,0.0,281592.105321946,281592.2083146579,more detectable by 0.10299271193798631,82412.04125358102,82411.78632031546,less detectable by 0.2549332655617036,149811.97956898337,149811.540157396,less detectable by 0.4394115873728879
img_11.jpg,phase2,91.1783,1.0,0.0,0.0,281592.105321946,281577.91843429406,less detectable by 14.18688765191473,82412.04125358102,82422.80088457596,more detectable by 10.759630994944018,149811.97956898337,149801.38528213455,less detectable by 10.594286848820047
img_11.jpg,phase3,100.5746,1.0,0.0,0.0,281592.105321946,281586.53745560744,less detectable by 5.567866338533349,82412.04125358102,82410.02279740802,less detectable by 2.0184561729984125,149811.97956898337,149807.11761171545,less detectable by 4.861957267916296
img_11.jpg,phase4_1,99.8611,1.0,0.0,-0.0,281592.105321946,281591.9365628946,less detectable by 0.16875905136112124,82412.04125358102,82412.61367975526,more detectable by 0.5724261742434464,149811.97956898337,149811.8583563374,less detectable by 0.12121264595771208
img_11.jpg,phase4_2,96.8071,1.0,0.0,0.0,281592.105321946,281592.0208731615,less detectable by 0.08444878447335213,82412.04125358102,82411.81925438489,less detectable by 0.22199919613194652,149811.97956898337,149808.4863824508,less detectable by 3.4931865325779654
img_11.jpg,phase4_3,97.0299,1.0,0.0,-0.0,281592.105321946,281590.8457642044,less detectable by 1.259557741577737,82412.04125358102,82413.33195459463,more detectable by 1.2907010136113968,149811.97956898337,149811.97956898337,equal
img_11.jpg,phase4_4,97.4119,1.0,0.0,-0.0,281592.105321946,281592.54278798157,more detectable by 0.43746603559702635,82412.04125358102,82411.8642799866,less detectable by 0.17697359441081062,149811.97956898337,149812.05124703856,more detectable by 0.07167805518838577
img_13.jpg,phase1,88.9992,1.0,0.0001,-0.0,1154.6375838291033,1154.7107046305282,more detectable by 0.0731208014249205,1741.548109236218,1739.7856630515878,less detectable by 1.7624461846301074,2041.2442289001315,2038.9871119142072,less detectable by 2.2571169859243128
img_13.jpg,phase2,80.1001,1.0,0.0006,0.0,1154.6375838291033,1125.153767180058,less detectable by 29.483816649045366,1741.548109236218,1715.7594158836057,less detectable by 25.7886933526122,2041.2442289001315,2002.913562920975,less detectable by 38.33066597915649
img_13.jpg,phase3,89.2419,1.0,0.0001,0.0,1154.6375838291033,1152.6005590633174,less detectable by 2.0370247657858727,1741.548109236218,1741.1732214798099,less detectable by 0.37488775640804306,2041.2442289001315,2039.4327423741697,less detectable by 1.8114865259617545
img_13.jpg,phase4_1,88.5087,1.0,0.0001,-0.0,1154.6375838291033,1155.6243136216415,more detectable by 0.986729792538199,1741.548109236218,1741.9038537948425,more detectable by 0.3557445586245649,2041.2442289001315,2041.7445705537075,more detectable by 0.5003416535760152
img_13.jpg,phase4_2,85.9889,1.0,0.0002,0.0,1154.6375838291033,1152.9450573516856,less detectable by 1.6925264774176867,1741.548109236218,1740.5782436755933,less detectable by 0.969865560624612,2041.2442289001315,2038.0189419423255,less detectable by 3.22528695780602
img_13.jpg,phase4_3,85.9889,1.0,0.0002,0.0,1154.6375838291033,1153.6083489104396,less detectable by 1.029234918663633,1741.548109236218,1738.4396470482884,less detectable by 3.10846218792949,2041.2442289001315,2041.2442289001315,equal
img_13.jpg,phase4_4,85.9889,1.0,0.0002,-0.0,1154.6375838291033,1155.6355584245273,more detectable by 0.9979745954240116,1741.548109236218,1742.248227668827,more detectable by 0.7001184326090879,2041.2442289001315,2041.0198861363351,less detectable by 0.22434276379635776
img_14.jpg,phase1,104.792,1.0,0.0,0.0,41490.963179997,41489.413090240305,less detectable by 1.5500897566962522,85787.16945313357,85784.71587593558,less detectable by 2.4535771979863057,89115.11534269467,89105.14726057852,less detectable by 9.968082116145524
img_14.jpg,phase2,94.8934,1.0,0.0,0.0,41490.963179997,41481.11022457782,less detectable by 9.852955419184582,85787.16945313357,85757.68096781465,less detectable by 29.488485318914172,89115.11534269467,89090.32420919523,less detectable by 24.791133499442367
img_14.jpg,phase3,104.4702,1.0,0.0,0.0,41490.963179997,41491.41064574387,more detectable by 0.4474657468672376,85787.16945313357,85782.15777548784,less detectable by 5.011677645728923,89115.11534269467,89114.53124672627,less detectable by 0.5840959683991969
img_14.jpg,phase4_1,103.6698,1.0,0.0,-0.0,41490.963179997,41491.42678700088,more detectable by 0.4636070038759499,85787.16945313357,85787.9753428429,more detectable by 0.8058897093287669,89115.11534269467,89116.11860106314,more detectable by 1.0032583684660494
img_14.jpg,phase4_2,101.2578,1.0,0.0,0.0,41490.963179997,41490.3617511698,less detectable by 0.6014288271981059,85787.16945313357,85778.00398396226,less detectable by 9.165469171304721,89115.11534269467,89109.69167980344,less detectable by 5.423662891233107
img_14.jpg,phase4_3,101.4085,1.0,0.0,0.0,41490.963179997,41491.52006147945,more detectable by 0.55688148245099,85787.16945313357,85773.5529812575,less detectable by 13.616471876070136,89115.11534269467,89115.11534269467,equal
img_14.jpg,phase4_4,101.1602,1.0,0.0,0.0,41490.963179997,41488.73269417207,less detectable by 2.2304858249335666,85787.16945313357,85787.08399617011,less detectable by 0.08545696345390752,89115.11534269467,89116.1223716023,more detectable by 1.0070289076247718
img_17.jpg,phase1,97.9417,1.0,0.0,0.0,190957.75342979326,190935.22483349085,less detectable by 22.528596302407095,216466.6436357234,216467.2142431137,more detectable by 0.5706073903129436,178692.087706068,178692.18404794543,more detectable by 0.09634187741903588
